keyword,latitude,longitude,description
Appliances,32.3191042,89.0005261,hub
Medicines,33.5165274,93.6963813,challenge
Clothing,32.1522202,92.6492869,function
Medicines,34.1192631,89.2512672,process improvement
Medicines,32.500267,92.1836933,Upgradable
Water,34.8719658,88.8128101,Networked
Appliances,33.9208136,88.1274719,Monitored
Garden,33.0018128,93.5399368,client-driven
Food,31.9183665,90.3367343,productivity
Appliances,34.0646229,91.2782938,Multi-tiered
Garden,32.7444002,92.2784371,User-centric
Medicines,34.0970726,91.9613031,contingency
Clothing,34.1325588,91.7195877,Grass-roots
Water,33.961985,93.3944539,analyzing
Medicines,31.2545204,93.8522645,zero administration
Food,30.9254145,90.5974838,policy
Sports,33.9446985,91.2482113,productivity
Food,32.0393234,91.8255688,Extended
Home,31.953399,93.3594756,knowledge user
Appliances,30.3834433,93.6298702,discrete
Appliances,34.7499993,90.3888037,system engine
Garden,31.2738227,90.6148034,Total
Home,32.297638,92.8864817,matrix
Appliances,34.6006839,93.8760331,Business-focused
Appliances,29.0136651,88.1027449,incremental
Grocery,33.5173497,91.3674048,Digitized
Medicines,33.4461185,88.2629372,contextually-based
Outdoors,34.0530482,90.5644875,Enterprise-wide
Clothing,29.9951904,92.4768786,Reactive
Clothing,30.8816611,89.742239,Intuitive
Music,32.6790511,92.0119668,Object-based
Food,33.9300218,90.8845094,hybrid
Clothing,30.1360444,88.9403995,user-facing
Water,31.3270878,90.0297847,Managed
Food,34.0334881,88.2042976,eco-centric
Medicines,33.1804423,89.6262101,workforce
Food,32.5153613,91.0844349,Quality-focused
Tools,31.8070913,88.7240241,support
Food,32.3954304,92.2207921,Realigned
Grocery,34.4651316,90.2269051,Versatile
Food,30.4082427,92.2103067,project
Clothing,34.2944767,92.3570884,Visionary
Food,33.3792876,92.986377,methodical
Food,30.3735582,91.9292794,Function-based
Food,29.7762868,88.3035534,Re-contextualized
Garden,33.9468694,89.5010588,Grass-roots
Appliances,31.5608405,93.2987201,directional
Home,29.9047578,89.535691,zero tolerance
Clothing,31.8084703,88.5183948,Diverse
Outdoors,29.9740445,93.2857262,Graphic Interface
Water,33.3237595,91.0700369,website
Food,29.4894538,90.9763486,flexibility
Tools,31.6593426,90.838004,Horizontal
Medicines,34.215517,89.6027642,Face to face
Others,33.5983136,89.8905143,core
Medicines,29.8534677,89.3412714,parallelism
Medicines,29.2570177,92.4516069,scalable
Medicines,34.3535402,89.5302236,background
Tools,33.4441944,91.1936961,Quality-focused
Water,33.7248804,93.4352204,complexity
Tools,30.8816778,91.6317741,Future-proofed
Appliances,31.3599553,89.9942548,access
Clothing,31.2509289,91.6037348,flexibility
Food,32.3714366,90.4461828,strategy
Food,29.6251282,90.3205338,Distributed
Appliances,33.3796498,88.7194802,client-server
Food,33.0189851,91.4421885,Polarised
Food,31.0810391,89.0558901,Cloned
Water,29.3367362,92.0356319,grid-enabled
Clothing,31.8684664,90.7006493,dynamic
Appliances,34.0018933,89.5852312,Expanded
Music,34.4722042,91.8088581,24 hour
Water,29.5807389,91.8290977,4th generation
Clothing,33.5304762,92.5762653,Monitored
Grocery,30.8037438,93.2048106,Up-sized
Food,34.7355453,88.532726,modular
Water,31.5113336,92.6606871,capability
Medicines,32.3532742,90.1460791,needs-based
Music,29.8828775,92.7221429,asymmetric
Medicines,30.7563069,92.4547585,asynchronous
Food,30.2276445,91.4028844,client-server
Clothing,34.6732365,91.3562649,Cloned
Clothing,32.2187014,90.4562172,eco-centric
Others,30.2277133,89.7228998,approach
Medicines,29.8590215,89.9723927,fresh-thinking
Clothing,32.5276795,89.187749,Operative
Home,33.1632011,88.7645735,adapter
Water,33.9918733,92.9801385,bottom-line
Outdoors,29.1118164,89.7768044,Enterprise-wide
Food,32.2551511,90.7255526,Distributed
Water,34.9998589,91.9375902,Proactive
Clothing,32.8227005,93.4942394,moderator
Water,31.3929983,93.5135019,Polarised
Grocery,29.9151414,90.3877663,approach
Medicines,34.2182184,93.7600534,6th generation
Water,33.5614548,90.5602825,Fully-configurable
Medicines,31.5381297,93.3380613,Organic
Medicines,30.0242666,89.4866891,Cross-platform
Medicines,31.3919367,89.888799,Optimized
Water,34.455299,89.4969182,analyzing
Garden,29.1517757,90.0051714,Enhanced
Others,29.8085114,92.5440192,complexity
Music,33.573111,93.7205295,Programmable
Grocery,30.6138739,91.8796673,Organized
Food,29.851961,88.0563553,installation
Food,29.7627258,92.7130201,scalable
Clothing,33.5005842,93.9888889,fresh-thinking
Water,31.6612907,89.7116027,Triple-buffered
Garden,34.8081655,90.4775787,Ameliorated
Clothing,31.8969335,91.6667941,discrete
Others,32.4337025,88.9167568,local area network
Garden,30.0462574,93.5430447,Upgradable
Medicines,31.8600023,91.6918121,process improvement
Others,29.4763093,89.6068173,capability
Clothing,33.9079903,90.8147155,discrete
Outdoors,34.3590394,89.3373762,Polarised
Tools,32.519488,92.9903075,background
Medicines,33.3952568,92.8567258,intermediate
Music,32.8158197,88.8746003,interface
Medicines,32.1881057,92.2331298,tertiary
Appliances,32.3490579,92.1318996,standardization
Grocery,29.755229,92.5250645,Horizontal
Sports,31.1069636,89.820684,executive
Others,34.3382213,88.4959438,Phased
Tools,30.9530027,88.1360726,bi-directional
Food,30.4650682,92.2166366,neural-net
Sports,31.4441026,89.7980643,Public-key
Medicines,32.3596004,90.9260499,methodology
Medicines,34.5651033,90.6281442,moratorium
Water,30.5030691,88.0259442,Grass-roots
Food,33.7227097,88.6050742,Managed
Appliances,32.5437442,90.3716987,Profound
Others,30.4005511,93.2542968,24/7
Medicines,29.8233741,92.2395319,architecture
Food,30.7733807,91.3144579,human-resource
Water,33.3434635,92.2723735,well-modulated
Appliances,29.1213656,88.1127411,Multi-channelled
Appliances,34.710727,88.5426729,modular
Food,32.884646599999996,92.2645182,methodology
Garden,33.3292511,90.7368404,eco-centric
Medicines,30.3585812,88.1365875,Secured
Clothing,29.8220475,88.8172136,archive
Outdoors,33.313852,88.6865437,Multi-lateral
Medicines,29.2354814,89.3585704,Devolved
Clothing,30.5923814,93.6442392,fault-tolerant
Medicines,30.1779511,93.0748304,contextually-based
Clothing,31.1476806,91.6298927,global
Medicines,33.9917454,88.069266,Persistent
Sports,34.9430863,89.7758788,Diverse
Home,34.508638,89.8503894,national
Music,34.8637504,93.1565794,contextually-based
Music,33.2501471,91.1887813,6th generation
Food,29.2267993,93.327223,logistical
Sports,30.5457904,93.1032959,encompassing
Clothing,33.8021639,88.7705594,collaboration
Food,32.5316737,89.5028232,exuding
Medicines,32.3051864,88.4628361,Down-sized
Music,33.3734771,91.7882655,encoding
Clothing,30.5574191,92.977455,tangible
Home,29.9613101,91.3183175,fresh-thinking
Medicines,31.2497466,92.7476995,Streamlined
Outdoors,30.4305886,88.5829583,Customizable
Medicines,29.4568661,88.6152816,Networked
Garden,33.3964794,92.96728,zero tolerance
Appliances,33.3247915,88.7967641,Total
Garden,29.2618059,90.4844035,Grass-roots
Sports,34.556755,91.198789,artificial intelligence
Others,29.1982794,89.1840564,Managed
Food,30.0013322,89.2538236,hybrid
Clothing,34.5373833,88.7223127,Focused
Garden,29.8857383,92.7143924,local
Garden,32.8934291,91.5855452,product
Medicines,30.1387249,93.1528637,Diverse
Outdoors,30.385391,91.8960497,Managed
Tools,33.0075717,91.3500419,24/7
Tools,30.1466883,92.5486477,Programmable
Sports,31.1004139,92.8833667,analyzing
Music,31.9344746,89.0423787,policy
Water,32.7272564,89.878815,neural-net
Appliances,30.125696,90.4641906,matrix
Clothing,32.929051,92.9921902,Face to face
Tools,29.6079797,88.5099717,attitude
Home,32.7697522,93.6953823,User-centric
Clothing,29.968684,91.6486997,hybrid
Home,32.8922792,88.7939275,background
Music,32.6843036,89.2410486,Synchronised
Clothing,30.8682036,89.8025927,Grass-roots
Sports,29.7739044,89.7784978,approach
Appliances,31.9795077,93.1972158,foreground
Clothing,31.4260876,89.8358742,Universal
Appliances,29.2828071,89.0842754,capability
Others,33.1238043,90.9050531,service-desk
Medicines,33.6503001,89.2698029,concept
Grocery,33.7944784,92.1174775,tangible
Medicines,33.5295158,88.984985,demand-driven
Grocery,34.3873003,88.0684737,Fully-configurable
Music,32.145604,90.8232952,Streamlined
Clothing,34.5773456,91.7122288,system engine
Medicines,31.5432591,88.5773477,real-time
Medicines,30.5050871,93.7000071,synergy
Outdoors,33.1745833,88.8148759,Virtual
Appliances,34.2259559,92.6603222,maximized
Music,29.2848568,89.709784,actuating
Outdoors,32.6148397,90.6258105,support
Medicines,32.8468958,90.3616816,Networked
Medicines,32.0498005,91.3657294,concept
Appliances,34.3525379,93.0455864,Re-engineered
Water,31.9749064,92.3118739,task-force
Tools,30.4958597,90.2448884,empowering
Home,34.5750123,90.0260204,Graphic Interface
Appliances,32.0809073,88.5891169,content-based
Medicines,31.0728952,92.9035532,full-range
Appliances,33.5169504,90.7395217,ability
Garden,34.503782,92.7525106,Implemented
Garden,32.1262499,92.9390907,software
Medicines,34.618773,91.9535257,content-based
Clothing,31.2007289,90.9977216,system engine
Clothing,33.1248268,88.7767514,Multi-lateral
Medicines,34.0156125,90.4813531,systemic
Tools,34.6450749,91.4940308,Compatible
Food,33.5021128,89.8861436,tertiary
Garden,29.3269218,91.7490056,Advanced
Clothing,29.6423113,88.3995624,Object-based
Music,33.4548718,88.517926,24 hour
Clothing,33.1144575,93.3714061,intangible
Water,34.0468995,89.3170785,systemic
Clothing,33.3747986,92.0468126,Function-based
Water,34.5811341,90.0100052,time-frame
Food,29.1920702,92.833306,dedicated
Medicines,32.3635606,89.6817918,migration
Appliances,30.093625,89.5058986,Enterprise-wide
Appliances,30.6147327,93.0928258,Switchable
Water,29.1595313,90.5729056,challenge
Food,29.526589,90.6889831,full-range
Appliances,31.4587802,90.8288818,client-driven
Medicines,33.1476196,92.0442634,conglomeration
Grocery,32.5338807,90.9461818,Devolved
Sports,31.3185455,88.6938891,groupware
Appliances,34.9564065,88.5042734,help-desk
Water,31.0112987,92.5740721,motivating
Grocery,30.0661833,93.9586215,national
Tools,31.0097927,93.6303235,actuating
Food,32.4234657,90.3973278,asynchronous
Medicines,31.2580123,89.7290087,real-time
Outdoors,32.3430411,89.3638716,interactive
Medicines,33.3965961,88.7902625,multi-state
Clothing,30.8836604,88.6058503,next generation
Food,31.508394,93.7161875,product
Garden,32.1677434,92.5630818,Fundamental
Appliances,30.4810834,88.2620449,attitude
Clothing,29.0685513,92.2878243,Cross-platform
Outdoors,32.0506285,92.418202,Seamless
Clothing,31.7038883,89.8716745,success
Others,29.2651128,93.4016173,user-facing
Grocery,32.412295,88.2179837,Phased
Grocery,29.0853497,89.5178293,grid-enabled
Food,29.4751197,88.8111045,maximized
Medicines,33.007743,93.0708438,Seamless
Music,33.4862639,90.7010161,Secured
Food,32.56374,92.174691,Advanced
Tools,29.5729674,88.3009183,Down-sized
Garden,30.6993946,90.9772102,Multi-tiered
Appliances,31.0371503,89.9754664,Fully-configurable
Home,29.4949922,89.3719988,actuating
Others,29.8431985,93.6745534,reciprocal
Food,30.979807,88.813881,motivating
Clothing,29.5747464,89.7964884,interface
Appliances,34.226812,88.7639811,Team-oriented
Water,30.9993048,88.1029993,Total
Food,30.1260216,90.3894917,extranet
Grocery,33.4964968,89.0889087,bottom-line
Clothing,34.7461127,89.0120099,modular
Grocery,29.3122536,90.2675392,national
Medicines,33.0556672,92.6653706,firmware
Tools,33.8641833,88.6013908,bottom-line
Home,32.1878537,90.0043386,Down-sized
Water,31.2583655,90.5757661,benchmark
Tools,30.9409632,93.7474611,Customer-focused
Medicines,31.2988207,91.2376058,capability
Appliances,32.7224754,90.8762329,optimal
Water,31.6745881,90.4197212,fresh-thinking
Food,29.5579199,93.556197,static
Water,31.5289782,92.4310796,Total
Medicines,29.3549011,91.3616966,Integrated
Medicines,34.5993666,90.4125815,Intuitive
Clothing,30.0786929,92.7143845,Re-contextualized
Sports,33.110409,93.1796469,Cross-group
Home,30.356907,92.6475801,Business-focused
Sports,31.9162699,88.5862384,Managed
Medicines,32.8213043,93.6289568,attitude-oriented
Medicines,32.8705585,92.2983813,Devolved
Clothing,29.6901847,93.5511364,national
Appliances,30.310771,90.3049513,pricing structure
Music,32.6363401,90.0204901,challenge
Food,33.5799582,90.0406951,Pre-emptive
Music,32.9663483,93.1486421,Fundamental
Food,31.6941161,91.9216777,Progressive
Sports,29.0554687,91.1196225,capacity
Medicines,31.6164774,91.2393386,attitude-oriented
Grocery,30.2205461,93.0699367,Synergized
Medicines,32.9923726,90.9490754,Networked
Sports,32.3906461,89.3839314,open architecture
Water,33.634759700000004,92.4838318,Configurable
Tools,30.1302259,92.8902054,client-driven
Clothing,34.3667801,92.6190076,paradigm
Tools,34.765205,89.347434,5th generation
Music,30.926401,91.0278672,Virtual
Food,33.5105351,91.4397577,next generation
Clothing,30.5573855,92.8531625,user-facing
Appliances,33.064162,88.100372,content-based
Clothing,32.4103594,93.2586773,optimizing
Others,30.1046506,91.6349573,needs-based
Medicines,30.2277142,88.257745,success
Food,31.2241962,90.7571446,hub
Medicines,31.8522064,88.861401,Sharable
Grocery,31.3199445,89.4883955,zero defect
Food,29.9302764,88.6253755,Progressive
Clothing,31.2987587,91.8827425,systematic
Water,29.9822856,88.2412631,homogeneous
Grocery,32.4701447,89.8876283,task-force
Clothing,34.2048758,91.3395549,functionalities
Clothing,34.5623716,89.6198106,Optional
Home,31.494867,89.6539113,alliance
Clothing,34.4857474,92.6675762,Distributed
Tools,29.5386465,91.5497472,scalable
Sports,32.4609921,92.4067373,modular
Garden,32.9550876,88.4379628,Cloned
Outdoors,31.0895809,93.2140153,heuristic
Medicines,33.6864309,93.2349896,support
Medicines,31.9805972,91.4158246,monitoring
Water,31.297043,90.1957264,Graphic Interface
Appliances,30.9623441,92.4717785,6th generation
Clothing,33.2490339,89.3087471,mobile
Clothing,31.9222028,90.0723106,neutral
Food,31.1859482,89.2135911,6th generation
Others,32.0463857,89.9024003,Operative
Medicines,33.1582993,92.8699958,regional
Food,32.1760612,89.565217,real-time
Medicines,32.0663963,92.753351,Open-source
Sports,32.7431635,89.5842402,Exclusive
Food,34.8554269,91.5819197,bandwidth-monitored
Others,33.8838747,88.2167036,matrix
Sports,32.6449668,93.9347794,process improvement
Others,30.9506161,92.1554004,Secured
Sports,30.5960739,91.9567704,zero defect
Grocery,32.3127897,90.6936962,Centralized
Food,33.9958656,90.8972453,Profit-focused
Food,31.1950995,90.0399685,Re-engineered
Home,29.3455644,92.1721534,circuit
Food,29.37077,93.5802823,Networked
Grocery,32.2399777,93.935326,help-desk
Clothing,34.3912284,93.9061953,Quality-focused
Grocery,34.7842389,90.7367816,artificial intelligence
Food,29.3405911,89.7530409,responsive
Outdoors,32.330887,92.500767,motivating
Sports,33.5076074,88.9331318,emulation
Others,29.1195372,91.4719599,hybrid
Medicines,32.1898947,90.1607235,matrix
Grocery,32.59846,92.056286,responsive
Food,31.9393395,91.640933,Inverse
Water,32.1151273,92.286071,Robust
Appliances,34.5429438,88.1323221,model
Food,29.9083526,91.9490452,mobile
Medicines,29.2206497,91.6089747,Up-sized
Others,31.0358509,92.1648809,Function-based
Music,30.8989325,91.6857875,value-added
Medicines,30.9463952,89.8744599,Upgradable
Water,32.9337273,92.8283664,Open-source
Clothing,33.2153192,91.1518517,toolset
Food,32.1728851,93.4265643,approach
Clothing,34.9094433,90.817164,Public-key
Medicines,31.4570288,90.0633439,instruction set
Food,31.2969113,88.2899429,modular
Food,31.8671367,93.7911662,Visionary
Tools,32.8801412,91.306916,value-added
Food,31.2525972,88.6548224,Re-contextualized
Clothing,30.5010927,91.9415077,contextually-based
Music,31.5144459,93.4452568,database
Sports,30.654973,88.6141978,archive
Food,30.9036031,90.8543325,system-worthy
Medicines,33.5714024,93.1171477,coherent
Garden,32.5497045,90.1758688,firmware
Food,33.7156938,93.0923528,internet solution
Tools,31.8412479,90.2833953,Enhanced
Food,32.9311424,89.5682834,bi-directional
Appliances,34.6873335,91.3655026,asynchronous
Tools,32.4742023,90.0360064,approach
Water,34.2634665,88.6052449,Synergistic
Sports,31.2152575,88.303222,projection
Clothing,34.4445206,93.7594424,Expanded
Medicines,34.5894354,92.7887348,4th generation
Appliances,31.2919031,93.4329829,moderator
Food,34.2744191,88.0609076,empowering
Medicines,31.627317,92.0375196,Optimized
Others,34.7955328,92.2965161,website
Food,32.0244862,90.2988045,Quality-focused
Grocery,34.2061273,89.6827275,Public-key
Others,32.3775578,93.0310491,6th generation
Clothing,29.3785459,88.4477607,Secured
Clothing,32.2958554,88.971265,hybrid
Others,29.923111,88.442201,support
Music,33.4640892,91.2181811,database
Medicines,31.9618832,93.7325043,flexibility
Food,33.3699354,89.2750188,Intuitive
Home,31.1811436,88.5989722,collaboration
Grocery,33.4498171,93.7664493,Synchronised
Appliances,30.7114804,88.6184281,Reduced
Food,34.9755027,90.9785324,Open-architected
Music,31.986783,89.2906143,Public-key
Food,31.1304036,92.8775457,portal
Clothing,29.3705673,91.6052691,circuit
Medicines,32.8535312,92.7550154,Enterprise-wide
Clothing,30.855284,88.5347486,Synchronised
Clothing,32.5225151,88.1958767,Assimilated
Grocery,34.0844582,93.8542295,alliance
Home,34.0664094,91.4903426,global
Appliances,32.8211415,93.18638609999999,web-enabled
Water,34.9066818,90.2846968,monitoring
Others,33.9455282,90.618778,static
Others,30.4346248,89.8219616,responsive
Sports,30.4176071,92.021663,content-based
Appliances,33.4993286,93.606132,bottom-line
Music,33.8155571,90.1337877,installation
Water,29.4756354,93.7677075,6th generation
Music,31.9425112,91.4856763,holistic
Clothing,32.2838155,89.8187543,portal
Water,29.1606184,89.8045323,firmware
Tools,30.945485,93.125431,Robust
Food,34.5144281,93.0334312,neutral
Water,34.7179643,91.2721297,access
Food,33.3491637,92.3603115,optimizing
Food,30.141998,88.4687676,24/7
Food,30.5981222,92.3921045,system engine
Water,34.8003373,93.7650129,complexity
Medicines,32.5811881,90.6419879,Centralized
Food,30.7182754,89.7733534,concept
Grocery,31.6476742,91.1751712,toolset
Water,32.9126512,89.3245582,tangible
Appliances,33.8872082,88.1521754,Horizontal
Food,31.0022425,93.8580222,internet solution
Medicines,30.9651856,88.2086892,emulation
Clothing,32.8093106,88.7527426,systematic
Grocery,31.1294669,89.3648701,coherent
Music,31.2370275,90.7163502,concept
Sports,29.0751345,89.6923448,Right-sized
Tools,29.1778279,89.6350512,success
Water,29.3843628,92.3749868,Grass-roots
Food,30.6277837,93.3161144,Automated
Water,31.6726246,88.4447932,encoding
Garden,34.5187045,92.1027608,Digitized
Food,29.295228,93.2171769,real-time
Grocery,34.0154105,88.6731184,explicit
Garden,34.7895755,88.1197462,internet solution
Food,31.5984263,89.5036122,Multi-tiered
Medicines,31.8848609,91.2320227,explicit
Outdoors,29.7053362,91.6454018,solution
Garden,30.9285704,88.819681,User-friendly
Water,32.384844,93.7537743,matrices
Home,32.7689125,89.6927301,regional
Medicines,32.7881485,89.6900762,Organized
Tools,30.4182935,92.7145443,Realigned
Grocery,33.0820029,93.1559539,alliance
Outdoors,31.5686362,93.056964,Profound
Food,30.6131856,89.0004439,Secured
Water,34.5359081,92.5006667,interactive
Medicines,29.8615491,93.2584041,Right-sized
Appliances,29.0825805,92.749484,protocol
Food,32.2440719,89.1673734,Enterprise-wide
Music,33.8423706,91.4134942,Stand-alone
Medicines,34.4826733,92.6775261,Fundamental
Water,31.349156,88.6878628,moderator
Medicines,30.380575,93.8314151,Cross-platform
Medicines,33.8330661,89.4918217,Multi-lateral
Medicines,32.307211,90.1811589,context-sensitive
Water,31.7603406,92.8557048,explicit
Medicines,31.9747798,88.9643752,Devolved
Clothing,29.9083873,88.6509204,Assimilated
Water,33.4176464,88.4756865,Switchable
Music,34.086008,91.8749042,time-frame
Appliances,33.6042527,88.9314226,Synergized
Music,34.3925776,90.9578847,monitoring
Music,31.2863706,93.9546758,instruction set
Appliances,29.6453225,90.1584712,intangible
Appliances,31.7855971,89.1895941,radical
Water,29.0243594,90.7255198,middleware
Water,32.6860877,92.7677468,Diverse
Music,34.3346626,91.5874342,fresh-thinking
Food,33.975878,89.3557837,Fully-configurable
Clothing,34.7511091,91.2458115,bottom-line
Tools,34.0268781,92.7347477,national
Food,29.4924636,92.2018019,dedicated
Appliances,31.0647199,93.1937803,Sharable
Medicines,30.4662915,88.2396422,capability
Home,31.0846484,93.2973843,Upgradable
Clothing,32.8698894,92.7724664,human-resource
Music,29.4311359,89.7933547,analyzing
Music,33.7040705,92.2213241,Public-key
Water,29.6827224,91.7069585,static
Medicines,29.696210100000002,92.066404,Distributed
Music,32.0980108,92.8535022,context-sensitive
Medicines,32.2856838,92.0667318,Virtual
Tools,33.3868712,91.9524656,Innovative
Appliances,32.9816704,93.3724095,framework
Garden,32.5061212,93.8290801,matrices
Sports,31.2984372,93.2671809,frame
Food,30.4952617,93.2669987,matrix
Music,29.6859703,92.4753223,knowledge base
Clothing,34.9116648,92.3949316,asymmetric
Medicines,32.8598813,90.1908622,toolset
Clothing,32.2133754,90.0900937,solution-oriented
Tools,34.6482333,93.6276833,Networked
Others,29.3777841,89.1647634,User-friendly
Others,32.3922033,89.836582,maximized
Sports,29.2677701,89.1970723,implementation
Clothing,34.4854181,92.8746598,leading edge
Medicines,32.0065959,91.6825974,User-friendly
Medicines,33.0765004,92.7769545,uniform
Clothing,34.5573161,91.1481278,system engine
Water,29.0404926,91.657475,executive
Food,32.9235105,90.6492741,Seamless
Clothing,32.910569100000004,92.5272586,challenge
Others,32.6409243,92.396722,Phased
Garden,32.6997865,88.4867678,parallelism
Garden,30.4570029,93.3148968,info-mediaries
Food,33.6706672,93.2527259,Optional
Grocery,30.7353212,93.8556979,Self-enabling
Clothing,32.847932,90.5128821,framework
Clothing,29.1591934,93.1951182,Re-contextualized
Others,33.956997,93.3935652,adapter
Medicines,29.1082589,92.4850688,throughput
Medicines,30.405902,92.3870059,zero tolerance
Medicines,34.8088339,91.7163037,stable
Food,33.1995643,90.4768908,database
Clothing,34.7913759,93.7021412,internet solution
Others,29.7882198,88.0844199,bottom-line
Music,33.2906846,90.1505063,Upgradable
Medicines,29.0874589,89.9497223,Streamlined
Appliances,33.8670895,92.9168369,success
Sports,29.2082753,93.0869567,Diverse
Appliances,31.5852298,88.5364441,knowledge base
Home,30.1118117,90.8973442,Switchable
Grocery,33.3922256,91.5633154,utilisation
Sports,29.5251971,92.5439201,archive
Sports,31.7621261,92.7774245,Mandatory
Home,34.208366,91.7601182,Grass-roots
Clothing,34.8927433,89.8323362,Front-line
Sports,34.1371931,89.5717222,Re-engineered
Food,33.3677651,88.503547,challenge
Home,31.5399754,89.156157,Extended
Sports,30.039216,93.8209028,intranet
Tools,32.2450644,92.9125729,functionalities
Clothing,30.764216,93.3817318,Reduced
Grocery,33.9854793,91.6615845,needs-based
Appliances,34.2705508,89.2668215,hybrid
Food,32.4908499,93.7026928,Optimized
Grocery,32.896822,90.9807153,Graphical User Interface
Others,33.6797466,88.0891425,benchmark
Clothing,33.5637071,93.566525,responsive
Home,30.4649275,90.3648695,Right-sized
Clothing,34.7845352,93.0610773,web-enabled
Clothing,33.240371,88.7930663,Ergonomic
Music,29.5244202,89.0726916,Balanced
