id,item,keyword,latitude,longitude,ipv4
32,Customer-focused,Garden,28.2452125233,96.2246129394,38.184.34.1
33,Sharable,Games,10.3305852872,70.9484471889,42.85.90.18
34,Automated,Health,32.2040011319,74.5959789004,141.11.127.62
35,artificial intelligence,Shoes,22.3638330451,81.8116779562,128.0.216.243
36,empowering,Electronics,19.0532090982,81.7704035898,151.252.141.251
37,Stand-alone,Garden,37.3512736535,91.1752643538,38.17.19.41
38,installation,Sports,37.053417775,73.0176050506,100.135.168.78
39,bottom-line,Grocery,11.1384687649,82.9457295518,129.105.60.34
40,Balanced,Outdoors,10.9008624781,86.5856702941,33.206.26.4
41,Adaptive,Garden,15.4951007066,73.1080796333,137.189.156.229
42,24 hour,Electronics,16.7347285879,91.9386427515,153.138.177.199
43,Pre-emptive,Kids,30.7458351867,88.3952729957,39.188.63.200
44,real-time,Outdoors,16.7684258258,81.2821540563,235.154.111.27
45,Business-focused,Shoes,25.0609163682,96.3252491067,227.21.48.206
46,Exclusive,Industrial,25.1387574807,95.8508613416,86.85.29.230
47,systematic,Clothing,31.2928852089,82.0257085482,6.14.130.79
48,background,Baby,28.2102259423,81.9440619185,96.223.136.33
49,Focused,Home,37.3857380356,84.8183781864,246.97.54.152
50,coherent,Games,24.3587250124,89.3888979008,74.246.202.134
51,Inverse,Industrial,20.5686303763,69.2389330648,230.224.136.18
52,parallelism,Clothing,26.805621789,71.4806556926,21.229.153.194
53,Graphical User Interface,Garden,18.0137814586,91.2734312493,230.82.244.148
54,alliance,Grocery,32.6283247662,72.1519668081,176.149.247.173
55,info-mediaries,Baby,8.7317891938,92.6505110277,17.211.82.239
56,Horizontal,Sports,8.944407253,88.6407309957,36.247.237.41
57,leverage,Clothing,8.8290179148,69.4372571463,248.9.145.195
58,Face to face,Toys,29.984704636,80.1249774761,152.223.10.47
59,Inverse,Music,16.1031902889,88.9984303212,218.125.177.95
60,frame,Books,28.3331774462,72.7720465081,202.196.220.133
61,ability,Outdoors,21.6805331298,87.7491300629,108.213.90.195
62,national,Garden,8.5634070073,85.9535080453,70.172.168.126
63,Operative,Computers,32.905143352,76.5890160558,239.127.18.185
64,content-based,Kids,30.2738064366,90.0161117001,124.104.128.157
65,asynchronous,Grocery,8.6832067781,83.4920383549,196.87.73.210
66,leverage,Home,13.0399369059,78.2844052504,227.133.182.45
67,24 hour,Tools,28.1764865062,76.3788650226,147.96.149.79
68,Optimized,Beauty,19.0090748682,94.4616100036,62.249.248.243
69,Function-based,Sports,24.7207719093,70.3087272721,217.50.173.117
70,Face to face,Baby,34.8343534574,71.9615903878,107.15.1.126
71,Advanced,Industrial,12.1806292516,94.1862109264,95.83.124.98
72,Multi-tiered,Computers,23.8630567685,94.1477827828,148.109.94.225
73,system-worthy,Beauty,34.5983015138,92.0216042929,34.99.172.124
74,implementation,Music,13.125445809,82.7640456256,28.167.5.66
75,hybrid,Automotive,20.5423633115,89.8434487817,132.94.15.0
76,forecast,Computers,36.8531720496,85.1098968458,242.144.50.182
77,high-level,Clothing,29.1709378367,72.6433686042,81.184.23.185
78,infrastructure,Movies,25.574510238,92.3658870652,56.63.78.100
79,Progressive,Home,24.3778837282,91.0073762017,29.179.104.34
80,extranet,Clothing,18.7035961127,73.3088295909,230.106.85.246
81,functionalities,Health,26.860101146,94.6826393569,48.163.99.167
82,leverage,Electronics,16.9879350088,95.9896275368,21.105.155.26
83,instruction set,Shoes,19.7502820419,95.7683991267,59.38.104.10
84,Adaptive,Grocery,29.2455939994,77.1558061715,214.134.18.17
85,structure,Computers,33.618433462,96.9603777296,90.151.201.190
86,help-desk,Electronics,16.9635178367,73.7429235944,4.142.101.244
87,tertiary,Home,13.7815550412,85.6687595507,101.211.60.240
88,client-server,Shoes,18.4421422717,94.8122217272,225.7.222.224
89,local area network,Books,22.4947813878,79.2182840743,41.252.126.229
90,modular,Books,33.2302562392,92.5857362931,31.154.181.21
91,5th generation,Books,21.0656945203,85.7416540061,196.40.59.241
92,Pre-emptive,Toys,11.3006270567,81.1233499634,103.144.129.54
93,User-friendly,Clothing,33.7415654974,85.0610733586,123.215.45.246
94,Automated,Garden,19.1041696942,74.1114378666,227.208.11.147
95,intranet,Home,15.0598712036,89.0695334921,152.54.218.71
96,synergy,Garden,26.5158246485,87.4330158087,76.165.124.25
97,Sharable,Computers,12.6760145263,70.4432682433,175.106.181.169
98,object-oriented,Movies,36.5462129175,80.2438640341,200.97.23.254
99,static,Toys,21.933922725,79.6316024139,208.171.228.165
100,Digitized,Baby,37.5493062287,92.2104422648,128.137.251.95
101,6th generation,Movies,19.0700416714,93.3633960656,173.251.103.22
102,directional,Games,16.233038605,84.9009694403,201.114.196.70
103,intangible,Shoes,27.5483475913,75.7335474275,27.220.244.72
104,Innovative,Clothing,31.6268694823,69.9966881067,51.127.23.67
105,systemic,Automotive,24.680527281,88.146587677,222.250.66.1
106,utilisation,Home,22.6272962605,80.1927620636,155.145.176.111
107,budgetary management,Toys,26.791030563,80.2545323576,124.216.109.112
108,conglomeration,Jewelery,11.4448103018,81.5967583232,164.86.190.95
109,Grass-roots,Health,9.1875929157,95.620537288,198.94.123.254
110,ability,Baby,25.4639161933,90.086049234,188.11.79.177
111,Enhanced,Tools,37.3379128388,90.7993721184,220.143.144.172
112,encryption,Movies,20.3634246146,82.1300719994,158.116.101.111
113,Cloned,Automotive,8.8749591527,71.7956043226,166.191.24.211
114,4th generation,Music,32.8737235476,77.533803775,184.195.62.133
115,info-mediaries,Computers,16.05832673,80.4617348078,4.196.127.61
116,Automated,Jewelery,29.3241366972,77.5590636646,249.50.218.103
117,paradigm,Garden,27.0411587362,89.8014627806,60.117.115.111
118,Monitored,Clothing,18.1276545152,89.3225998884,125.233.147.55
119,Organized,Electronics,12.1041948897,86.6216882296,118.253.129.84
120,Graphical User Interface,Sports,19.3865914648,85.8949280478,203.109.159.128
121,Fundamental,Sports,27.3462222865,92.0621118592,105.132.97.223
122,heuristic,Jewelery,31.6648130025,73.6211227724,188.36.217.91
123,infrastructure,Industrial,13.8535162001,69.5695766222,77.185.155.31
124,Stand-alone,Electronics,16.4477373339,72.2127462544,8.115.78.108
125,Fundamental,Tools,16.9218182356,75.089566391,101.254.197.233
126,Re-engineered,Grocery,11.0056347171,74.6716754286,129.36.230.183
127,maximized,Automotive,21.8478064049,74.0114626423,176.174.240.182
128,Optional,Clothing,37.2604041707,93.0914136448,190.164.193.7
129,fault-tolerant,Tools,25.3962731245,69.2635199223,23.221.221.30
130,Profit-focused,Grocery,10.7268273917,89.8793818399,74.255.27.35
131,circuit,Games,31.9007915021,96.0225104213,10.96.52.144
132,methodical,Sports,18.2057089122,78.7154597394,146.130.52.243
133,Function-based,Kids,21.1575347199,84.7696475364,155.76.210.166
134,incremental,Beauty,12.8055369977,86.6300394548,47.74.146.251
135,leverage,Outdoors,11.6439103612,83.2424739377,85.33.132.160
136,concept,Games,13.5845472782,93.5172385786,98.245.7.34
137,Graphic Interface,Grocery,23.3983429595,93.046239602,173.137.179.67
138,neural-net,Grocery,34.0020987724,91.98959566,207.115.143.211
139,Inverse,Electronics,29.8520488747,78.4779491336,197.246.78.42
140,content-based,Jewelery,33.677518812,70.9533700521,183.190.241.151
141,Upgradable,Toys,30.9168320399,69.1416302375,35.74.152.52
142,Synergized,Computers,36.3997112506,91.9521297454,144.200.157.219
143,scalable,Shoes,13.0203763602,75.9783686708,194.128.75.245
144,Proactive,Electronics,25.2179252695,88.1924251664,7.136.81.90
145,Organized,Sports,30.9202852291,93.0831397518,15.111.54.65
146,Compatible,Electronics,12.1233174874,78.1269827919,254.68.166.24
147,Innovative,Clothing,23.9250669612,71.0874579863,1.115.157.183
148,Decentralized,Outdoors,24.8322608921,92.9179126499,46.75.32.201
149,infrastructure,Music,19.0591137764,84.7010716825,228.248.83.79
150,hybrid,Industrial,18.402985338,81.2333954493,128.169.216.8
151,approach,Toys,12.5005868479,75.3634878806,49.84.1.149
152,fault-tolerant,Electronics,24.7126706335,72.1517879216,148.109.59.18
153,Ergonomic,Kids,16.1114565466,84.9195812522,151.22.169.18
154,neutral,Books,10.0130578071,79.4120358479,46.156.71.131
155,Optional,Baby,18.8629187702,95.3333433144,105.21.58.109
156,responsive,Health,21.4307176921,75.7714234573,30.173.210.254
157,Fundamental,Baby,31.8636444688,94.6761675337,32.57.38.95
158,systemic,Shoes,9.5257794034,91.7660278052,12.92.121.216
159,stable,Books,20.8102784226,95.2898905549,188.209.243.1
160,standardization,Grocery,15.1550212962,92.8688369939,109.15.71.33
161,Customer-focused,Health,32.8787168654,93.3888947387,140.45.137.187
162,system-worthy,Beauty,23.0772687492,85.1600145947,209.209.53.27
163,didactic,Beauty,30.1550336505,81.8264330159,172.236.155.184
164,process improvement,Home,9.4380226522,80.4674090618,183.17.198.214
165,moderator,Music,27.3960264772,86.8727386139,183.208.94.83
166,context-sensitive,Beauty,26.5894393853,92.61609816,240.108.201.83
167,benchmark,Garden,33.2283957522,86.3468961403,97.139.207.13
168,Cross-group,Electronics,35.4760993683,92.6358704698,248.143.227.213
169,Centralized,Jewelery,27.3256435224,82.3182127238,86.182.167.121
170,zero defect,Shoes,26.1806339474,88.3564039796,74.97.210.147
171,national,Health,14.1302212573,70.3666960929,238.31.108.57
172,productivity,Automotive,34.7339088654,84.0087343507,110.81.8.84
173,help-desk,Baby,17.3353188455,81.5065347161,250.9.78.32
174,directional,Outdoors,17.9341027382,82.5388682264,156.184.67.12
175,Future-proofed,Health,33.2762481356,75.3926168033,3.49.249.79
176,non-volatile,Home,14.9173468483,68.7307663783,171.176.215.84
177,Centralized,Jewelery,17.0838905314,84.7329254716,87.53.199.172
178,customer loyalty,Music,25.7641288218,81.8889946195,199.132.254.25
179,Optional,Garden,36.70287268,89.2301167302,110.115.122.242
180,Graphical User Interface,Computers,11.7411950405,86.9522820804,94.160.77.161
181,client-server,Tools,36.0681980749,89.680465403,250.133.99.132
182,foreground,Garden,25.9734249228,83.6823343842,123.42.232.71
183,Streamlined,Shoes,20.6943326552,73.3493463399,215.182.155.18
184,Implemented,Games,16.3484252535,94.7935483957,80.187.213.15
185,object-oriented,Movies,36.3404044889,92.0983720144,82.70.58.16
186,service-desk,Grocery,17.5360581358,96.8004614238,160.93.60.50
187,Public-key,Movies,13.4722041549,85.0106897067,99.150.199.128
188,Object-based,Electronics,34.6359997055,78.7331982029,144.167.179.5
189,capability,Music,33.3342037661,71.4575538195,46.91.40.54
190,hybrid,Clothing,36.8395429403,93.869521039,164.150.205.37
191,complexity,Music,30.5872996356,83.2304584553,207.209.105.83
192,Multi-lateral,Movies,37.2212094212,77.3720939016,9.148.10.24
193,Advanced,Sports,29.8814735062,87.0189920573,22.33.94.137
194,Team-oriented,Books,33.5040130647,73.0688173276,111.242.97.139
195,Universal,Automotive,9.7760589495,90.040749605,223.52.240.221
196,Object-based,Automotive,22.4128784545,74.9550897396,157.183.104.106
197,service-desk,Kids,19.4942611525,71.8531351345,149.117.36.153
198,artificial intelligence,Books,30.5684679913,68.8499764411,118.47.55.206
199,Adaptive,Home,33.0947492225,93.4765439259,239.39.126.31
200,Object-based,Movies,9.9874674475,95.0039496295,30.119.16.212
201,Extended,Clothing,17.2027526069,74.4244190688,45.154.245.147
202,empowering,Sports,23.3435011334,92.7515409551,39.205.95.54
203,analyzing,Baby,33.1582489542,86.1758438468,58.106.46.100
204,Synergized,Computers,31.7844249026,91.0385888258,226.175.157.65
205,groupware,Music,34.3430959974,88.2742433574,47.168.215.67
206,approach,Games,28.9899442493,83.9977662539,90.157.65.207
207,systemic,Industrial,11.2445905953,89.2501506784,3.56.152.138
208,protocol,Automotive,10.310940175,76.0494350649,190.34.239.176
209,Proactive,Books,10.3566824777,94.7741020129,199.209.228.200
210,Future-proofed,Shoes,11.4884098512,70.3353613348,97.135.117.253
211,clear-thinking,Shoes,17.7413459147,74.9765173611,30.17.128.149
212,Profound,Health,22.9336694384,81.6441193604,109.252.95.232
213,Visionary,Books,35.3028538551,83.3989137928,127.130.30.161
214,Phased,Games,22.2956222273,81.865945779,179.127.96.252
215,Implemented,Jewelery,37.3756887396,76.0803328142,228.84.211.36
216,Self-enabling,Garden,29.6398714528,79.7770355836,25.90.221.165
217,interface,Movies,26.5899086217,96.899028299,64.228.241.31
218,Monitored,Toys,26.7730955076,93.1725575136,162.217.137.91
219,Integrated,Health,18.3422954084,95.8590647241,244.93.241.111
220,context-sensitive,Movies,29.6652994518,92.9447343822,109.212.136.136
221,Exclusive,Health,13.1668185502,90.7225952659,214.239.227.103
222,internet solution,Baby,13.196019889,78.7902658329,246.235.219.21
223,superstructure,Baby,10.196656763,80.7189358749,193.20.84.134
224,secured line,Beauty,30.8760562246,74.324584973,36.219.229.35
225,actuating,Outdoors,11.0127182136,83.357998852,122.58.69.11
226,interface,Books,33.9921038904,74.920505931,203.141.71.247
227,Fundamental,Tools,30.530688897,77.840891774,7.11.157.217
228,Ameliorated,Garden,26.8385078866,70.7992843191,183.165.246.203
229,fresh-thinking,Books,35.9251656461,75.7767393681,161.4.232.82
230,info-mediaries,Shoes,32.0344163112,74.948720598,79.72.130.181
231,architecture,Sports,15.0682030295,83.2160157651,121.205.7.128
232,software,Sports,10.515524919,81.6504658094,127.225.7.158
233,Extended,Industrial,29.9179459721,70.5100898774,18.70.120.33
234,capacity,Beauty,16.7322877313,93.3538211925,166.117.167.123
235,radical,Electronics,10.844931597,81.7397155287,165.168.53.85
236,mission-critical,Movies,9.564630219,70.5098193643,241.16.253.169
237,Decentralized,Garden,25.3091498449,88.442683675,47.141.81.132
238,hybrid,Shoes,14.0986273723,85.6460162285,55.119.184.208
239,Fully-configurable,Electronics,15.5659201835,80.8678927802,232.131.67.85
240,Virtual,Electronics,34.4404774811,84.5082973793,168.228.15.54
241,projection,Music,37.3263934735,96.6264027557,161.87.235.235
242,leading edge,Sports,34.3320123285,85.9749242076,141.205.35.204
243,Team-oriented,Computers,9.7925374569,91.2311536513,72.157.69.147
244,Upgradable,Outdoors,35.2834801902,92.2134762289,139.100.116.28
245,homogeneous,Clothing,15.0488368277,78.927661916,173.206.176.115
246,Focused,Beauty,14.0614833936,76.1737891443,247.174.229.186
247,Front-line,Grocery,20.0867731235,88.4597679222,167.175.22.174
248,multi-state,Games,9.2282681457,72.6655692189,9.245.75.148
249,tangible,Movies,21.7764280393,88.544111961,111.149.177.164
250,function,Music,34.0679569918,78.0078714442,103.231.241.35
251,asynchronous,Outdoors,29.1435334909,85.5948659465,34.210.154.48
252,empowering,Outdoors,29.7131221734,86.0595714266,21.97.198.72
253,well-modulated,Beauty,15.6156884736,91.541209426,76.229.184.110
254,hierarchy,Home,32.5686747659,69.7441630755,241.70.231.215
255,flexibility,Movies,34.1325949261,76.9795099075,166.246.73.68
256,tangible,Electronics,27.0073201156,92.6306019528,54.89.128.223
257,Streamlined,Industrial,11.8447918953,75.4675749129,74.110.62.92
258,Focused,Health,29.5122042875,81.1118704106,83.192.46.99
259,open system,Home,19.2051203432,94.7678028446,202.101.5.217
260,high-level,Books,35.5297963566,85.5403147269,222.217.50.142
261,local area network,Industrial,26.368560831,93.2824753399,185.136.97.192
262,portal,Clothing,29.214090771,80.7479501361,36.214.128.65
263,Customizable,Sports,27.407732867,86.5413088066,80.46.66.92
264,fresh-thinking,Sports,20.2226003707,73.048547562,38.31.75.194
265,composite,Beauty,24.0815225258,75.2390485001,49.29.180.189
266,optimizing,Home,21.054987878,93.2669870999,30.58.11.243
267,circuit,Beauty,21.7302503209,70.0729766103,61.218.92.100
268,fault-tolerant,Movies,22.4368947785,69.1343914849,85.135.36.24
269,6th generation,Industrial,31.3770096571,89.1076470672,87.34.112.56
270,project,Baby,27.9298806112,84.1089274192,209.93.97.44
271,Graphic Interface,Shoes,18.5497726085,85.9097068123,178.77.242.121
272,hub,Jewelery,11.5316486942,74.4790514947,13.237.56.196
273,array,Home,29.2198712242,91.5901697386,155.130.90.223
274,homogeneous,Outdoors,30.3278953187,69.6565343574,48.255.230.227
275,workforce,Tools,24.4185036221,71.205736312,114.200.158.17
276,Expanded,Games,28.0306720296,92.1325561958,243.206.40.146
277,intranet,Shoes,33.3050169253,81.2035956054,117.227.187.34
278,toolset,Books,31.9226448723,86.0013612436,121.134.168.82
279,Profound,Baby,23.8947369113,72.3098576262,58.201.208.1
280,Organic,Home,15.1974927754,85.6619606998,151.128.60.7
281,Integrated,Electronics,14.6993727957,79.0232207644,164.138.94.166
282,impactful,Garden,14.3206347074,70.0363611436,219.74.98.77
283,software,Outdoors,28.9623813794,95.5597646871,16.233.105.175
284,definition,Computers,22.6041597591,74.1278541335,44.225.168.137
285,capacity,Shoes,13.3263746111,92.8425601958,33.236.0.201
286,Right-sized,Electronics,9.6763650157,88.0732243863,122.179.151.69
287,user-facing,Home,18.3513176249,91.1336579764,216.145.60.2
288,encryption,Toys,9.243008048,78.4441159249,4.229.180.214
289,5th generation,Clothing,20.036353587,72.9865179714,148.189.42.154
290,Configurable,Movies,11.7910122124,94.2351213525,38.250.186.176
291,Synergized,Grocery,23.3857619411,72.8041121548,59.67.215.238
292,moratorium,Jewelery,24.3671148162,73.8292144647,230.145.204.133
293,Reverse-engineered,Outdoors,35.7556069935,84.8768803947,254.168.61.81
294,Function-based,Electronics,36.4993136763,84.0774833889,59.124.191.141
295,hybrid,Beauty,16.706111797,75.1291377288,156.237.102.150
296,Future-proofed,Shoes,30.6070708972,95.21890215,113.78.25.205
297,intermediate,Kids,37.5468335455,80.9724434958,50.246.41.127
298,Stand-alone,Jewelery,10.3028894849,85.5168982605,213.107.34.18
299,Graphical User Interface,Sports,8.8324812251,70.4182601151,13.16.233.198
300,Front-line,Computers,29.2385772506,93.1842285505,45.178.251.74
301,Devolved,Baby,10.4033898503,69.2392209057,182.90.46.95
302,array,Industrial,25.587520495,72.5859493449,131.224.181.146
303,web-enabled,Health,15.8913031549,86.9576641711,107.164.164.127
304,Synergized,Clothing,34.1072869298,79.0590896549,112.187.187.61
305,Cross-platform,Sports,26.8776431475,96.1755752491,239.92.117.101
306,middleware,Kids,35.9895734105,70.8455253287,126.208.107.168
307,Phased,Automotive,27.4860350248,81.6650453507,94.226.182.14
308,leading edge,Baby,36.4552698619,80.6488277498,165.182.163.193
309,process improvement,Grocery,16.1568047705,89.0110260207,17.18.115.91
310,optimal,Music,23.2083163054,87.0223417439,159.161.239.179
311,alliance,Toys,10.2672653358,76.9680933451,95.223.111.98
312,open architecture,Grocery,12.6082129504,86.9403486322,244.194.49.93
313,Down-sized,Sports,16.0824474522,81.0151495098,82.98.154.43
314,methodology,Movies,21.2432078572,82.6864496781,178.59.142.66
315,multi-state,Tools,21.9684677759,96.2411754455,197.117.202.30
316,4th generation,Outdoors,9.2753861935,95.027607202,170.105.176.176
317,context-sensitive,Industrial,36.5750514458,83.4945598599,195.39.204.188
318,Compatible,Electronics,17.4610537554,89.3475265199,16.8.102.40
319,Advanced,Outdoors,11.08036919,77.0004879756,91.94.245.141
320,background,Garden,33.836933786,74.0771393592,234.214.86.160
321,Down-sized,Tools,20.8290680225,73.4657550112,110.11.83.133
322,methodology,Grocery,17.0928950514,96.5872980774,152.176.238.19
323,Organic,Kids,26.4972236943,76.965635393,76.144.112.98
324,human-resource,Tools,28.7107677145,95.8044384076,202.48.185.170
325,local area network,Industrial,25.7268944851,91.876519679,228.226.201.24
326,Upgradable,Sports,12.5185705228,84.4780409286,38.130.119.152
327,Fundamental,Jewelery,19.4841128314,84.2866829353,138.108.237.118
328,Expanded,Outdoors,34.8398641889,77.6906952338,203.36.170.50
329,tangible,Games,17.5557637574,71.6914670242,172.230.53.230
330,Re-engineered,Games,20.7830373951,78.6731714915,127.217.121.52
331,Synchronised,Garden,34.9142704874,90.5115677013,79.33.177.130
332,algorithm,Shoes,30.1960160943,96.9539413713,160.55.213.42
333,groupware,Garden,15.2205699091,96.0665582404,122.70.92.140
334,infrastructure,Home,12.1221034334,70.0049565805,39.190.102.252
335,interactive,Shoes,16.5320396234,73.0673206502,29.139.98.195
336,Business-focused,Automotive,12.5410104551,84.8683115686,24.113.191.4
337,circuit,Shoes,31.7767630052,74.0020273518,3.73.243.19
338,database,Home,32.4957805469,96.669218235,84.124.114.145
339,definition,Outdoors,16.9775870507,79.4053347745,182.251.135.90
340,matrix,Music,15.8756829467,82.3292296797,221.240.202.118
341,holistic,Tools,22.2975054969,85.9388630319,109.190.28.179
342,Stand-alone,Baby,23.0627336824,86.1744667399,205.76.77.236
343,support,Kids,37.2019968502,76.4375199462,255.122.86.44
344,client-server,Baby,11.5648590646,72.1463793852,4.62.72.23
345,service-desk,Books,36.1046121182,93.1400231897,230.199.78.121
346,static,Garden,32.8692828099,93.8632314379,138.218.87.197
347,framework,Games,26.4502405237,75.8730860511,187.123.86.114
348,knowledge base,Jewelery,26.9330283292,83.005306817,140.7.40.29
349,Right-sized,Toys,31.6673992832,92.5069586968,37.219.109.96
350,Balanced,Sports,29.7333659563,77.8442644344,220.97.102.135
351,solution,Garden,18.1362186427,94.7105457172,212.198.0.92
352,Down-sized,Shoes,35.4348742093,77.3398501367,106.194.151.234
353,attitude-oriented,Jewelery,11.6987151906,86.8356761333,125.201.204.125
354,help-desk,Industrial,11.6274525429,73.0230093385,207.37.196.72
355,encryption,Toys,21.6311123065,72.1783965231,40.29.33.217
356,Multi-channelled,Computers,22.1105719236,81.0673096762,216.190.9.165
357,hierarchy,Electronics,25.8005717759,79.3767192272,28.16.205.185
358,neural-net,Baby,20.3077642828,69.4719255969,203.154.27.82
359,budgetary management,Baby,8.9948936105,82.1034915444,122.69.96.214
360,Intuitive,Movies,9.2917441823,96.875634176,47.233.70.3
361,Pre-emptive,Industrial,10.3863091982,87.27619552,239.1.26.252
362,internet solution,Music,17.3290020039,72.3425633777,16.110.13.133
363,paradigm,Outdoors,10.5249110044,71.7856123011,18.6.32.182
364,hierarchy,Grocery,28.4836545147,75.8329748655,204.54.169.129
365,web-enabled,Outdoors,15.6620732362,90.782903195,170.23.114.160
366,bi-directional,Health,34.8128830973,76.9774106291,75.2.145.199
367,Virtual,Games,22.1856421348,90.0795236867,248.150.80.26
368,intranet,Books,20.109292001,83.2394190897,125.172.231.68
369,secured line,Sports,20.6293740555,86.7003730634,30.110.187.60
370,stable,Tools,34.578375379,96.3097545401,233.211.116.30
371,human-resource,Music,17.1325834544,84.5701344555,107.104.63.73
372,Ameliorated,Books,11.1280259537,80.5110902642,147.73.155.132
373,artificial intelligence,Beauty,10.7623424781,75.4646017832,24.50.136.15
374,Monitored,Automotive,22.3043629908,79.176209299,236.46.58.67
375,stable,Health,14.2301670964,89.5213761029,138.70.97.149
376,Synergistic,Baby,27.1259648144,78.1423744686,92.82.59.110
377,Progressive,Sports,14.9657347696,93.3697712167,19.2.45.141
378,transitional,Computers,36.6164860657,93.9759988965,190.69.209.93
379,zero tolerance,Kids,36.9851113281,97.2183076263,185.235.199.175
380,toolset,Health,23.8028492546,92.2429724352,111.19.227.247
381,infrastructure,Sports,13.9472891677,70.0018592915,163.198.7.118
382,process improvement,Outdoors,27.6428313391,91.9950200542,174.170.88.14
383,software,Electronics,37.5565949755,74.526844029,234.177.176.60
384,optimal,Outdoors,30.8310276701,83.6561363565,69.168.216.41
385,Mandatory,Clothing,35.6449147062,74.4759352029,90.66.155.146
386,neutral,Electronics,32.9646046296,76.2630967024,222.152.178.76
387,executive,Books,36.502946717,96.7907027253,167.252.142.141
388,Secured,Shoes,11.5454328104,79.8413622533,106.178.250.49
389,heuristic,Movies,27.6711970606,89.1566646337,116.134.8.10
390,coherent,Shoes,21.8625452524,87.1923420091,52.75.231.75
391,Seamless,Beauty,24.1219580963,80.0230963089,132.97.21.114
392,global,Industrial,21.0246004193,96.4484685296,133.38.136.92
393,Operative,Movies,27.6197296592,91.9277186362,85.105.132.34
394,contextually-based,Toys,23.8962361165,93.8267253743,62.40.141.82
395,functionalities,Home,30.6689996378,68.7421172939,74.22.209.37
396,hardware,Games,12.5477891178,78.6987183448,26.144.238.169
397,Progressive,Tools,14.6327952318,83.6433525423,20.14.220.103
398,Streamlined,Baby,35.6321136377,81.764438173,247.77.140.253
399,Operative,Jewelery,20.8425780861,70.6621120453,50.101.200.237
400,Pre-emptive,Outdoors,30.2694984587,83.6440269379,94.62.241.79
401,mission-critical,Jewelery,12.26519002,83.0967574654,178.84.179.142
402,eco-centric,Garden,32.5349233137,77.8242136542,101.247.126.231
403,composite,Tools,36.0703636413,86.9274776186,118.147.90.160
404,Innovative,Automotive,30.9251782924,84.54897535,118.119.99.30
405,product,Automotive,15.503016162,72.1707459156,54.167.11.170
406,exuding,Tools,28.4929188731,86.8199977506,89.112.48.66
407,Programmable,Electronics,26.1025773386,77.0304153888,244.5.87.63
408,Stand-alone,Health,31.8722002951,79.1972749674,157.226.125.9
409,multi-state,Clothing,35.8554571638,80.7279818845,148.98.77.251
410,Open-source,Music,18.9367914865,69.746832548,80.5.108.177
411,infrastructure,Clothing,10.6269634072,82.828493669,22.52.0.95
412,firmware,Kids,32.2596306461,81.3573750781,173.72.217.12
413,scalable,Kids,11.7624158915,77.9644251427,196.176.36.196
414,cohesive,Computers,10.6997177838,82.2815747472,34.151.168.248
415,national,Music,11.7234425048,80.5439596876,29.96.80.179
416,matrices,Books,13.4052206054,96.748940639,189.223.91.188
417,approach,Movies,31.8188835991,89.1508167584,135.44.174.230
418,well-modulated,Sports,26.4833829813,79.5269205355,207.80.220.248
419,explicit,Grocery,17.728080398,93.6351309026,184.222.7.245
420,dynamic,Beauty,16.8009129842,72.709317382,51.124.174.220
421,Profit-focused,Garden,26.5619429011,85.0653372913,1.147.44.71
422,systematic,Tools,34.7851237175,80.1613861253,80.158.100.137
